row_type,relative_path,size_bytes,size_human,file_count,latest_modified,has_checkpoint,has_eval_json,has_figure,has_log,has_queue_state,rank,reference_pattern,reference_file,reference_line,reference_text
dir_depth_1_3,outputs/training/stwm_v4_2_state_identifiability/seed_456,166776,162.87KB,6,2026-04-01 01:04:14,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_ablations,3292,3.21KB,4,2026-03-31 12:29:41,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/week2_minival,43630865491,40.63GB,260,2026-03-31 12:48:24,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival/full,10907812486,10.16GB,65,2026-03-31 12:47:04,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival/wo_identity_memory,10907422799,10.16GB,65,2026-03-31 12:48:24,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival/wo_semantics,10907814824,10.16GB,65,2026-03-31 12:47:28,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival/wo_trajectory,10907815382,10.16GB,65,2026-03-31 12:47:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_sanity,5453435673,5.08GB,12,2026-03-31 12:45:58,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_sanity/full,5453435673,5.08GB,12,2026-03-31 12:45:58,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2,43632381792,40.64GB,336,2026-03-31 14:01:55,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2/full,10908190867,10.16GB,84,2026-03-31 14:00:36,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2/wo_identity_memory,10907802872,10.16GB,84,2026-03-31 14:01:55,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2/wo_semantics,10908193874,10.16GB,84,2026-03-31 14:01:03,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2/wo_trajectory,10908194179,10.16GB,84,2026-03-31 14:01:29,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_1,109080841609,101.59GB,840,2026-03-31 14:20:39,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_1/seed_123,32724216093,30.48GB,252,2026-03-31 14:17:50,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_1/seed_42,43632411443,40.64GB,336,2026-03-31 14:20:39,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_1/seed_456,32724214073,30.48GB,252,2026-03-31 14:19:18,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_2,98172843174,91.43GB,756,2026-03-31 17:15:10,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_2/seed_123,32724282325,30.48GB,252,2026-03-31 17:13:25,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_2/seed_42,32724280102,30.48GB,252,2026-03-31 17:11:40,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_2/seed_456,32724280747,30.48GB,252,2026-03-31 17:15:10,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_3,98172858482,91.43GB,756,2026-03-31 17:51:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_3/seed_123,32724287433,30.48GB,252,2026-03-31 17:50:06,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_3/seed_42,32724285284,30.48GB,252,2026-03-31 17:48:22,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/week2_minival_v2_3/seed_456,32724285765,30.48GB,252,2026-03-31 17:51:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/visualizations,371540256,354.33MB,343,2026-04-01 15:12:31,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/visualizations/stwm_v4_2_1b_confirmation_demo,14293096,13.63MB,40,2026-04-01 13:49:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/visualizations/stwm_v4_2_1b_confirmation_demo/storyboard_frames,11536820,11.00MB,38,2026-04-01 13:49:15,False,False,True,False,False,,,,,
